Number,Age,Male,City,Country,Area Income
543,35.0,0.0,Brownview,Myanmar,54773.99
544,34.0,1.0,Greerton,,70783.94
545,36.0,1.0,Hatfieldshire,Jamaica,70510.59
546,39.0,1.0,Brianabury,Bahrain,64021.55
547,33.0,0.0,New Maria,Algeria,72042.85
548,38.0,1.0,Colebury,Tuvalu,36037.33
549,29.0,0.0,Calebberg,Georgia,67526.92
550,55.0,0.0,Lake Ian,Cambodia,
551,28.0,0.0,Gomezport,Guam,63497.62
552,39.0,0.0,Shaneland,Tanzania,60879.48
553,33.0,0.0,,Indonesia,61467.33
554,35.0,1.0,Dustinborough,Somalia,70495.64
555,36.0,0.0,East Michaelland,Belize,71222.4
556,,1.0,East Connie,Serbia,64698.58
557,58.0,0.0,West Shannon,Australia,32252.38
558,35.0,1.0,North Lauraland,Guam,55316.97
559,33.0,1.0,Port Christopher,Christmas Island,47447.89
560,37.0,0.0,South Patrickfort,Papua New Guinea,73474.82
561,49.0,1.0,East Georgeside,Bahamas,53549.94
562,28.0,0.0,,Comoros,58576.12
563,26.0,1.0,Millertown,Western Sahara,63373.7
564,31.0,,South Renee,Nicaragua,60283.47
565,,0.0,South Jackieberg,Guam,37345.34
566,41.0,1.0,Loriville,Vanuatu,34886.01
567,44.0,1.0,Amandaland,Bolivia,67511.86
568,37.0,0.0,West Robertside,Malawi,77988.71
569,36.0,0.0,North Sarashire,Venezuela,
570,26.0,1.0,Port Maria,,61747.98
571,42.0,,East Jessefort,,
572,30.0,0.0,Port Anthony,Albania,55130.96
573,42.0,1.0,Edwardmouth,Madagascar,79484.8
574,37.0,1.0,Dustinchester,Guyana,67307.43
575,40.0,0.0,Rochabury,Yemen,27964.6
576,33.0,1.0,Williamsport,India,66431.87
577,35.0,0.0,,Puerto Rico,63551.67
578,23.0,1.0,Lake Gerald,,40135.06
579,45.0,0.0,Wrightview,Antigua and Barbuda,49101.67
580,54.0,0.0,Perryburgh,French Guiana,53188.69
581,39.0,1.0,Tracyhaven,Antigua and Barbuda,49742.83
582,,,South Jaimeview,Turkmenistan,63394.41
583,23.0,1.0,Sandersland,Honduras,64433.99
584,38.0,0.0,South Meredithmouth,Seychelles,73884.48
585,46.0,0.0,Richardsonshire,Cyprus,36424.94
586,36.0,,Kimberlymouth,Saint Pierre and Miquelon,28275.48
588,33.0,0.0,Tammyshire,Taiwan,68448.94
589,25.0,1.0,Millerbury,,66429.84
590,46.0,1.0,Lake Elizabethside,Micronesia,41768.13
591,38.0,0.0,Villanuevaton,Liberia,57844.96
592,45.0,0.0,Greerport,Saudi Arabia,35684.82
593,32.0,0.0,North Garyhaven,,62792.43
594,28.0,0.0,East Sharon,Ghana,51171.23
595,25.0,0.0,Johnstonmouth,Iran,58847.07
596,42.0,0.0,East Heatherside,New Zealand,57739.03
597,25.0,1.0,Lake Patrick,Libyan Arab Jamahiriya,64631.22
598,24.0,,Richardsonmouth,Sri Lanka,50337.93
599,38.0,1.0,Jenniferhaven,,67781.31
600,36.0,1.0,Boyerberg,Indonesia,68863.95
601,,1.0,Port Elijah,Saint Vincent and the Grenadines,55901.12
602,37.0,1.0,Knappburgh,Mongolia,64775.1
603,,0.0,New Dawnland,Honduras,67686.16
604,48.0,0.0,Chapmanmouth,Papua New Guinea,57777.11
605,48.0,,Robertside,,46868.53
606,50.0,1.0,West Raymondmouth,Ethiopia,40926.93
607,,,,,22205.74
608,24.0,1.0,Kristineberg,Kyrgyz Republic,58920.44
609,35.0,1.0,Sandrashire,Grenada,63006.14
611,26.0,0.0,Tranland,Pakistan,68348.99
612,30.0,1.0,Michaelland,Falkland Islands (Malvinas),66263.37
613,40.0,1.0,East Rachaelfurt,Jersey,63493.6
614,30.0,1.0,Lake Johnbury,Cayman Islands,56984.09
615,37.0,0.0,Elizabethstad,,51691.55
616,31.0,1.0,West Brad,Micronesia,49911.25
617,31.0,1.0,Johnstonshire,Tajikistan,33502.57
618,31.0,1.0,Lake Timothy,Bolivia,65834.97
619,31.0,0.0,Anthonyfurt,Cameroon,66176.97
620,53.0,0.0,East Brettton,Ecuador,51463.17
621,41.0,1.0,New Matthew,Zambia,41059.64
622,38.0,0.0,Christopherchester,Guinea-Bissau,61428.18
623,39.0,0.0,,Micronesia,51593.46
624,,0.0,Alexisland,Bahamas,57518.73
626,31.0,1.0,New Patriciashire,French Polynesia,52178.98
627,60.0,1.0,Port Brenda,,46239.14
628,35.0,,Port Brianfort,France,48918.55
629,27.0,1.0,Portermouth,Burundi,65227.79
630,23.0,1.0,Hubbardmouth,Latvia,55002.05
631,27.0,1.0,South Brian,,52261.73
632,49.0,1.0,Hendrixmouth,Venezuela,59448.44
633,39.0,0.0,Julietown,Palau,47314.45
634,26.0,1.0,,Isle of Man,55411.06
635,29.0,1.0,New Shane,Peru,66504.16
636,36.0,1.0,Lake Jillville,Belgium,47169.14
637,,0.0,Johnsonfort,Croatia,70889.68
638,37.0,0.0,Adamsbury,France,55358.88
639,55.0,1.0,East Maureen,,
640,51.0,0.0,,Peru,45522.44
641,49.0,0.0,Amandafort,Belarus,46931.03
642,40.0,1.0,Michaelmouth,Bolivia,55499.69
643,41.0,0.0,Ronaldport,Benin,75805.12
644,23.0,,Port Davidland,Wallis and Futuna,40345.49
645,45.0,1.0,Isaacborough,Azerbaijan,15598.29
646,28.0,0.0,Lake Michael,,33239.2
647,36.0,0.0,,Denmark,68033.54
649,,0.0,Parkerhaven,Brazil,53185.34
650,28.0,1.0,Markhaven,Ethiopia,39723.97
651,41.0,0.0,Estradashire,Guyana,43386.07
652,28.0,1.0,Brianland,Ethiopia,53922.43
653,27.0,0.0,,Mauritius,71881.84
654,29.0,0.0,West Dannyberg,,47139.21
655,38.0,0.0,East Debraborough,Syrian Arab Republic,68877.02
656,,1.0,Frankchester,Saint Martin,65186.58
657,32.0,1.0,Lisafort,Netherlands Antilles,55424.24
658,46.0,0.0,,Greece,46500.11
659,26.0,1.0,Troyville,Madagascar,58820.16
660,43.0,0.0,Hobbsbury,Senegal,28495.21
661,,1.0,Harrisonmouth,Burkina Faso,61840.26
662,46.0,1.0,Port Eugeneport,Czech Republic,37908.29
663,39.0,0.0,,Lao People's Democratic Republic,69805.7
664,,1.0,Brendaburgh,,60315.19
665,,0.0,New Christinatown,,67323.0
666,26.0,1.0,Jacksonstad,Andorra,50055.33
667,50.0,,South Margaret,Liechtenstein,43573.66
668,55.0,0.0,Port Georgebury,China,28186.65
669,33.0,0.0,,Vietnam,66412.04
670,32.0,1.0,Sanderstown,,15879.1
671,,1.0,,Eritrea,63965.16
672,31.0,0.0,Luisfurt,Monaco,58342.63
673,31.0,1.0,New Karenberg,Israel,33147.19
674,33.0,,,Hungary,
675,26.0,0.0,West Sharon,Singapore,64188.5
676,61.0,1.0,Klineside,Cuba,
677,33.0,0.0,,Reunion,44078.24
678,55.0,1.0,South Cynthiashire,,60968.62
679,28.0,0.0,Lake Jacob,Gabon,
680,38.0,1.0,West Samantha,Dominica,65496.78
681,29.0,1.0,Jeremybury,Bahamas,52462.04
682,38.0,1.0,Blevinstown,Tokelau,70582.55
683,34.0,0.0,Meyerchester,Turkmenistan,51816.27
684,,0.0,Reginamouth,Belgium,23410.75
685,26.0,1.0,Donaldshire,French Guiana,62729.4
686,28.0,1.0,Salazarbury,Martinique,48867.67
687,36.0,,Lake Joshuafurt,French Polynesia,50971.73
688,28.0,0.0,Wintersfort,Ecuador,67990.84
689,34.0,0.0,Jamesmouth,Puerto Rico,43241.19
690,27.0,1.0,,,
691,37.0,1.0,Andrewmouth,Burkina Faso,65180.97
692,28.0,1.0,West Angela,Luxembourg,67301.39
693,36.0,0.0,East Carlos,Jamaica,70701.31
694,28.0,1.0,Kennedyfurt,Antarctica (the territory South of 60 deg S),60997.84
695,33.0,0.0,Blairville,China,60805.93
696,37.0,1.0,East Donnatown,Western Sahara,
697,47.0,1.0,Matthewtown,Lebanon,14548.06
698,,0.0,Brandonbury,Hong Kong,41335.84
699,33.0,1.0,New Jamestown,Vanuatu,76480.16
700,38.0,0.0,,Vanuatu,67132.46
701,54.0,,Leahside,Guatemala,52581.16
702,25.0,0.0,West Wendyland,Greenland,55195.61
703,,0.0,Lawrenceborough,Syrian Arab Republic,48679.54
704,29.0,,Kennethview,Saint Helena,
705,,1.0,West Mariafort,Lebanon,44490.09
706,54.0,,Port Sherrystad,Malta,57667.99
707,30.0,1.0,West Melissashire,Christmas Island,51824.01
708,,0.0,Pamelamouth,Ukraine,66198.66
709,,0.0,Lesliefort,Malta,73174.19
710,26.0,,Shawnside,Italy,56593.8
711,23.0,0.0,Josephmouth,Japan,31072.44
712,41.0,0.0,Garciatown,Mauritius,66773.83
713,48.0,1.0,Chaseshire,Turkey,72553.94
714,57.0,0.0,Destinyfurt,Namibia,43708.88
715,43.0,0.0,Mezaton,,48453.55
716,31.0,1.0,New Kayla,Netherlands,73413.87
717,,1.0,Carsonshire,Gibraltar,58114.3
718,53.0,1.0,Jacquelineshire,,45465.25
719,21.0,1.0,South Blakestad,Senegal,50147.72
720,38.0,0.0,North Mark,Hungary,61004.51
721,35.0,1.0,Kingchester,Pitcairn Islands,53898.89
722,29.0,0.0,Evansfurt,Slovakia (Slovak Republic),59797.64
723,51.0,1.0,South Adamhaven,United States Virgin Islands,74623.27
724,45.0,,,Monaco,58677.69
725,34.0,0.0,,Portugal,62109.8
726,36.0,1.0,East Ericport,Turkey,60583.02
727,43.0,1.0,Crawfordfurt,Uganda,65576.05
728,40.0,,Turnerville,Norfolk Island,73882.91
729,25.0,1.0,Kylieview,Niue,50468.36
730,27.0,0.0,West Zacharyborough,Ukraine,51409.45
731,24.0,1.0,Watsonfort,Vanuatu,60514.05
733,34.0,1.0,Nicholasport,Armenia,52802.58
734,28.0,1.0,Whitneyfort,Sweden,56570.06
735,19.0,1.0,Coffeytown,Timor-Leste,51049.47
736,35.0,1.0,North Johnside,French Southern Territories,66629.61
737,41.0,0.0,Robinsonland,Finland,70185.06
738,41.0,1.0,Lake David,Saint Vincent and the Grenadines,43111.41
739,26.0,0.0,West Ericaport,Senegal,56435.6
740,29.0,0.0,Haleberg,Burundi,
741,28.0,1.0,West Michaelport,Bahamas,57179.91
742,52.0,0.0,Ericksonmouth,Sweden,41521.28
743,,1.0,Yangside,Svalbard & Jan Mayen Islands,73538.09
744,30.0,0.0,Estradafurt,Tonga,
745,38.0,,Frankport,Korea,
746,,0.0,Port Juan,Kyrgyz Republic,71727.51
747,29.0,1.0,Williamsside,,72203.96
748,37.0,1.0,Johnsonview,Liechtenstein,50671.6
749,29.0,0.0,East Heidi,Zimbabwe,47510.42
750,50.0,0.0,New Angelview,Costa Rica,62466.1
751,29.0,0.0,Lake Brandonview,Hungary,59683.16
752,32.0,,,Fiji,41097.17
753,58.0,0.0,Browntown,,39799.73
754,42.0,0.0,Lake Hailey,Sweden,76984.21
755,59.0,1.0,,Barbados,
756,31.0,1.0,Coxhaven,Paraguay,
757,28.0,0.0,Meaganfort,Italy,72154.68
758,31.0,0.0,North Monicaville,Belarus,65704.79
759,36.0,0.0,Mullenside,South Georgia and the South Sandwich Islands,72948.76
760,34.0,1.0,Princebury,Anguilla,73941.91
761,37.0,0.0,Bradleyside,Sierra Leone,57887.64
762,35.0,,Elizabethbury,Saint Martin,62463.7
763,29.0,0.0,West Ryan,Uganda,42838.29
764,,1.0,New Tammy,Saudi Arabia,43778.88
765,40.0,0.0,Sanchezland,Greenland,
766,31.0,0.0,Rogerland,Venezuela,74159.69
767,54.0,1.0,Vanessaview,Liberia,50333.72
768,25.0,1.0,Jessicashire,Mali,33293.78
769,51.0,1.0,Melissachester,Bosnia and Herzegovina,38641.2
770,33.0,0.0,Johnsontown,Brunei Darussalam,49822.78
771,,1.0,,South Georgia and the South Sandwich Islands,63891.29
772,42.0,1.0,Hernandezside,Czech Republic,43881.73
773,,1.0,New Williamville,El Salvador,13996.5
774,27.0,1.0,Gilbertville,Tokelau,48761.14
775,30.0,0.0,Newmanberg,France,69758.31
776,19.0,1.0,West Alice,Gabon,52530.1
777,40.0,0.0,Cannonbury,Bulgaria,58363.12
778,60.0,1.0,Shelbyport,Burkina Faso,60575.99
779,45.0,,New Henry,Mayotte,48206.04
780,54.0,1.0,Dustinmouth,Somalia,31523.09
781,26.0,0.0,South Lisa,Albania,66187.58
782,30.0,0.0,Lisamouth,Bolivia,69438.04
784,35.0,0.0,Port Brittanyville,British Virgin Islands,68016.9
785,41.0,1.0,East Ronald,Saint Helena,78520.99
786,36.0,1.0,South Davidmouth,Bosnia and Herzegovina,31998.72
787,29.0,,Carterton,India,56909.3
788,29.0,1.0,Rachelhaven,Georgia,61161.29
789,,1.0,New Timothy,United States Minor Outlying Islands,52340.1
790,40.0,1.0,,Kiribati,
791,22.0,1.0,Joneston,Ghana,50950.24
792,33.0,0.0,Staceyfort,Samoa,77143.61
793,29.0,,South Dianeshire,,57032.36
794,33.0,1.0,West Shannon,Costa Rica,48554.45
795,31.0,1.0,,Northern Mariana Islands,39552.49
796,47.0,,North Brittanyburgh,Liechtenstein,36884.23
797,26.0,,Port Jasmine,Grenada,68783.45
798,32.0,1.0,New Sabrina,Poland,51119.93
799,49.0,,Lake Charlottestad,Kenya,44304.13
800,,1.0,,Iran,69718.19
801,27.0,1.0,North Debra,Belgium,63429.18
802,34.0,0.0,Villanuevastad,Namibia,
803,46.0,1.0,North Jeremyport,Cyprus,77871.75
804,24.0,1.0,Lake Susan,,
805,29.0,1.0,Lake John,Zimbabwe,55984.89
806,34.0,1.0,Courtneyfort,Andorra,44275.13
807,50.0,0.0,Tammymouth,Luxembourg,25767.16
808,49.0,0.0,Lake Vanessa,Cyprus,37605.11
809,41.0,1.0,Lake Amanda,Turkey,25739.09
810,,1.0,Mariemouth,Hong Kong,60188.38
811,43.0,0.0,Port Douglasborough,Netherlands,
812,44.0,0.0,,United States Virgin Islands,
813,35.0,1.0,Williamsport,Marshall Islands,25371.52
815,29.0,1.0,Wendyville,Saint Vincent and the Grenadines,50666.5
816,30.0,1.0,Angelhaven,United States of America,50356.06
817,32.0,1.0,New Sean,Angola,63936.5
818,,,Lake Lisa,Cayman Islands,69874.18
819,34.0,0.0,Valerieland,Swaziland,50038.65
820,39.0,,New Travis,Wallis and Futuna,67866.95
821,48.0,0.0,North Samantha,Zimbabwe,54645.2
822,23.0,0.0,Holderville,Chad,
823,34.0,0.0,Patrickmouth,Saint Martin,67432.49
824,39.0,0.0,Lake Deannaborough,Rwanda,73392.28
825,,0.0,Jeffreymouth,Moldova,47682.28
826,31.0,,Davieshaven,Gabon,56735.83
827,30.0,1.0,Lake Jessicaville,Denmark,51013.37
828,32.0,1.0,Hernandezchester,Svalbard & Jan Mayen Islands,69481.85
829,28.0,0.0,North Kennethside,Poland,67033.34
830,,0.0,,Fiji,68717.0
831,31.0,1.0,Williamport,Philippines,59340.99
832,45.0,,,Vietnam,47968.32
833,35.0,,Vanessastad,Jersey,48758.92
834,49.0,1.0,Lisamouth,Indonesia,61230.03
835,30.0,1.0,,Palestinian Territory,54755.71
836,34.0,,Cunninghamhaven,Latvia,54324.73
837,42.0,,Robertstown,Malta,52177.4
838,33.0,1.0,South Mark,Afghanistan,51163.14
839,27.0,0.0,New Taylorburgh,Austria,66861.67
840,34.0,1.0,Port Karenfurt,Micronesia,63107.88
841,46.0,0.0,Carterland,Mexico,49206.4
842,,1.0,East Shawn,Chile,55942.04
843,40.0,,West Derekmouth,Cuba,33601.84
844,,1.0,Brandiland,Belarus,48867.36
845,40.0,0.0,,,56683.32
846,45.0,0.0,North Debrashire,Afghanistan,38260.89
847,,0.0,Deannaville,Luxembourg,54106.21
848,38.0,1.0,East Christopher,,71055.22
849,,1.0,Rickymouth,Nepal,46403.18
850,42.0,1.0,,Spain,61690.93
851,37.0,1.0,Lake Michelle,Hong Kong,26130.93
852,36.0,0.0,East Johnport,Slovakia (Slovak Republic),58638.75
853,,,Sabrinaview,Cayman Islands,
854,52.0,1.0,Kristinfurt,Uganda,50086.17
855,33.0,1.0,Chapmanland,Vanuatu,51772.58
856,35.0,1.0,North Jonathan,Anguilla,47638.3
857,45.0,1.0,Port Christina,Switzerland,38987.42
858,,,Juanport,,51363.16
859,34.0,0.0,East Mike,Uruguay,35764.49
860,24.0,0.0,North Angelatown,Liberia,62939.5
861,30.0,1.0,West Steven,Egypt,58776.67
862,25.0,1.0,Riggsstad,Greece,59106.12
863,51.0,1.0,Davidview,Bahrain,50457.01
864,,1.0,Port Kevinborough,,54251.78
865,45.0,1.0,Lawsonshire,Kazakhstan,51920.49
866,29.0,0.0,Wagnerchester,Greenland,70324.8
867,25.0,,Daisymouth,Moldova,52416.18
868,39.0,1.0,North Daniel,Poland,66217.31
869,50.0,1.0,Port Jacquelinestad,Anguilla,60938.73
870,33.0,1.0,New Teresa,Central African Republic,40243.82
871,,1.0,Henryfort,Mexico,60151.77
872,40.0,0.0,Lake Joseph,Togo,45945.88
873,25.0,1.0,Daviesborough,,63430.33
874,36.0,0.0,North Brandon,Nicaragua,65882.81
875,,1.0,Adamside,Eritrea,64410.8
876,27.0,0.0,Wademouth,Canada,55677.12
877,33.0,0.0,North Raymond,Croatia,75560.65
878,,1.0,Randolphport,Switzerland,61067.58
879,34.0,,East Troyhaven,Yemen,72330.57
880,29.0,0.0,Clarkborough,Tokelau,32549.95
881,44.0,0.0,Josephberg,Armenia,51257.26
882,34.0,1.0,Lake Jenniferton,Equatorial Guinea,77220.42
883,43.0,0.0,Lake Jose,Barbados,52520.75
884,22.0,0.0,,American Samoa,59422.47
885,33.0,1.0,Henryland,Saint Lucia,22456.04
886,31.0,0.0,Lake Danielle,,58443.99
887,29.0,1.0,Joshuaburgh,Turkmenistan,50820.74
888,42.0,0.0,South Jeanneport,,67575.12
889,,1.0,New Nathan,South Africa,66522.79
890,,0.0,Jonesshire,Macao,34903.67
891,,1.0,Mariahview,France,43073.78
892,44.0,1.0,New Julianberg,Equatorial Guinea,57594.7
893,31.0,1.0,Randyshire,Mali,66027.31
894,36.0,1.0,,Mayotte,53012.94
895,31.0,0.0,,Pakistan,61117.5
896,20.0,1.0,Richardshire,Guadeloupe,52563.22
897,40.0,0.0,Lake James,Denmark,65773.49
898,25.0,0.0,,New Zealand,50506.44
899,36.0,1.0,Alexandrafort,Netherlands Antilles,66262.59
900,26.0,1.0,Melissastad,Belarus,
901,,1.0,Gonzalezburgh,Taiwan,62430.55
902,41.0,0.0,Port Jennifer,El Salvador,49597.08
903,37.0,0.0,Chrismouth,Taiwan,42078.89
904,45.0,0.0,Port Beth,Peru,46197.59
905,51.0,0.0,West David,Liberia,49957.0
906,38.0,0.0,Fraziershire,Burundi,24078.93
907,,0.0,Robertfurt,Macao,53647.81
908,30.0,0.0,South Pamela,Venezuela,61039.13
909,26.0,0.0,North Laurenview,Luxembourg,46974.15
910,27.0,1.0,Campbellstad,Italy,53042.51
911,50.0,0.0,Port Derekberg,San Marino,48826.14
912,31.0,0.0,West Andrew,Madagascar,58287.86
913,50.0,,West Randy,Norfolk Island,
914,24.0,0.0,South Christopher,Vanuatu,52252.91
915,,1.0,Lake Michellebury,Tunisia,27073.27
917,42.0,1.0,West James,Macedonia,36913.51
918,37.0,1.0,Millerview,Heard Island and McDonald Islands,61009.1
919,39.0,1.0,Hawkinsbury,Ethiopia,53041.77
920,34.0,1.0,Elizabethport,El Salvador,40182.84
921,42.0,1.0,West Amanda,Niger,59419.78
922,31.0,1.0,Wadestad,Timor-Leste,58235.21
923,32.0,1.0,,,68324.48
924,25.0,1.0,West Arielstad,Somalia,69646.35
926,37.0,1.0,Lake James,,57806.03
927,49.0,1.0,Blairborough,Lao People's Democratic Republic,53336.76
929,51.0,1.0,Evansville,Guyana,71455.62
930,45.0,0.0,Huffmanchester,Ethiopia,43241.88
931,22.0,0.0,New Cynthia,Bosnia and Herzegovina,58953.01
932,38.0,0.0,Joshuamouth,Cyprus,36834.04
933,29.0,0.0,West Benjamin,,66345.1
934,45.0,,Williamsfort,Dominican Republic,38645.4
935,36.0,,North Tiffany,Bermuda,60803.0
936,34.0,0.0,Edwardsport,Jamaica,33553.9
937,38.0,0.0,Lake Evantown,Saint Barthelemy,
938,34.0,1.0,South Henry,Albania,46737.34
939,,1.0,Harmonhaven,Mozambique,55368.67
940,36.0,0.0,West Gregburgh,Zimbabwe,68305.91
941,45.0,0.0,Hansenland,Georgia,39211.49
942,48.0,0.0,Port Michaelmouth,Brazil,65956.71
943,,0.0,Tylerport,Syrian Arab Republic,40159.2
944,19.0,,West Lacey,Palestinian Territory,40478.83
945,46.0,1.0,North Jenniferburgh,Grenada,40468.53
946,51.0,0.0,,,66980.27
947,39.0,,North Charlesbury,Brunei Darussalam,34942.26
948,32.0,0.0,Jonathanland,Lithuania,48335.2
950,36.0,0.0,West Tanner,Lesotho,57330.43
951,34.0,1.0,Jonesmouth,Czech Republic,75769.82
952,31.0,1.0,Port Jason,Iceland,51812.71
953,30.0,1.0,West Annefort,Philippines,
954,50.0,0.0,,Cayman Islands,69868.48
955,,,North Cassie,Haiti,72802.42
956,27.0,1.0,Hintonport,Colombia,39193.45
957,36.0,1.0,New James,Luxembourg,18368.57
958,29.0,0.0,North Destiny,United Arab Emirates,56129.89
959,,0.0,Mclaughlinbury,Ireland,58996.56
960,44.0,0.0,West Gabriellamouth,Canada,41547.62
961,36.0,0.0,Alvarezland,Svalbard & Jan Mayen Islands,59240.24
962,28.0,0.0,New Julie,Malta,56725.47
963,,1.0,North Frankstad,Sudan,55764.43
964,37.0,1.0,Claytonside,Ecuador,64235.51
965,28.0,0.0,Melanieton,Senegal,39939.39
966,26.0,0.0,Lake Michaelport,,63319.99
967,,0.0,East Benjaminville,Belarus,54725.87
968,42.0,1.0,Garrettborough,Guyana,69775.75
969,24.0,0.0,Port Raymondfort,Mali,57545.56
970,50.0,0.0,,Iran,47051.02
971,52.0,1.0,,Bulgaria,51600.47
972,25.0,1.0,Kaylashire,Afghanistan,68357.96
973,38.0,0.0,Fosterside,Liberia,35349.26
974,,0.0,Davidstad,Netherlands Antilles,69784.85
975,29.0,0.0,Lake Tracy,Hong Kong,
976,48.0,1.0,Taylormouth,Palau,34418.09
977,,0.0,Dianaville,Malawi,20592.99
978,28.0,0.0,,Uruguay,63528.8
979,,1.0,,Cyprus,44217.68
980,48.0,1.0,South Rebecca,Mexico,47929.83
981,45.0,1.0,Port Joshuafort,Niger,46024.29
982,,1.0,Robinsontown,France,51900.03
983,,0.0,Beckton,Japan,72188.9
984,31.0,,New Frankshire,Norfolk Island,56974.51
985,57.0,1.0,North Derekville,Bulgaria,25682.65
986,46.0,0.0,West Sydney,Uzbekistan,41884.64
987,38.0,0.0,Lake Matthew,,
988,,1.0,Lake Zacharyfurt,Brunei Darussalam,
989,31.0,1.0,Lindsaymouth,France,58037.66
990,44.0,0.0,Sarahland,,64011.26
991,28.0,1.0,Port Julie,Northern Mariana Islands,59967.19
992,43.0,1.0,Michaelshire,Poland,
993,48.0,1.0,Sarafurt,Bahrain,51501.38
994,,0.0,South Denise,Saint Pierre and Miquelon,55187.85
995,44.0,1.0,North Katie,Tonga,33813.08
996,,,Mauricefurt,Comoros,36497.22
997,40.0,,New Patrick,Montenegro,66193.81
998,27.0,1.0,Edwardsmouth,Isle of Man,66200.96
999,28.0,0.0,Nicholasland,Mayotte,63126.96
1000,30.0,,Duffystad,Lebanon,71384.57
1001,45.0,1.0,New Darlene,Bosnia and Herzegovina,67782.17
1002,51.0,,South Jessica,Mongolia,42415.72
1003,19.0,0.0,West Steven,Guatemala,41920.79
1004,26.0,0.0,Ronniemouth,Brazil,29875.8
